geo_krs,avg(baserent)
Rhein_Erft_Kreis,334.25
Bad_T?lz_Wolfratshausen_Kreis,427.35
Aachen_Kreis,475.19
Steinfurt_Kreis,490
Recklinghausen_Kreis,497.6666666666667
Kleve_Kreis,539
Ortenaukreis,548
Landshut_Kreis,550
Dortmund,550
G?tersloh_Kreis,585
Oldenburg_Oldenburg,620
Rhein_Neckar_Kreis,625
Main_Kinzig_Kreis,640
Leipzig,641.4862499999999
Heilbronn_Kreis,665
Rheingau_Taunus_Kreis,680
Mannheim,707.5
Dresden,728.9645454545454
Aachen,735
Wolfsburg,739.2
Pfaffenhofen_an_der_Ilm_Kreis,740
Bamberg,754
Ingolstadt,780
Mainz,783.3333333333334
Wiesbaden,790
Hamburg,822.9
Bonn,825
D?sseldorf,826.6666666666666
Krefeld,845
Potsdam_Mittelmark_Kreis,845.78
Main_Taunus_Kreis,875
Rosenheim_Kreis,893.63
Berlin,905.8957142857142
Heilbronn,909.5
Frankfurt_am_Main,929.0842857142858
Ebersberg_Kreis,977.5
M?nchen_Kreis,980
F?rstenfeldbruck_Kreis,1073
Ludwigsburg_Kreis,1090
M?nchen,1251.5264705882353
