,Country,Year,rule_of_law,GDP_blnUSD,GDP_per_capita_tUSD,Population,Innovation Score,Tax Score
0,Afghanistan,2022,0.330643264,0.0,0.0,41128771,0.0,0.0
1,Albania,2022,0.487371486,18.012,6.337074525,2842321,24.4,0.0
2,Algeria,2022,0.486328997,168.195,3.74572205,44903225,16.7,0.0
3,Angola,2022,0.426498781,74.953,2.10607287,35588987,13.9,0.0
4,Antigua and Barbuda,2022,0.631118465,1.534,16.36039802,93763,0.0,0.0
5,Argentina,2022,0.548633035,483.765,10.62978729,45510318,28.6,0.0
6,Australia,2022,0.794076717,1677.45,64.08005252,26177413,47.1,75.5
7,Austria,2022,0.802697465,520.343,58.20640862,8939617,50.2,68.6
8,Bangladesh,2022,0.390675269,390.608,2.28177042,171186372,19.7,0.0
9,Barbados,2022,0.657583309,5.142,18.25767394,281635,0.0,0.0
10,Belarus,2022,0.460712907,70.632,7.407691741,9534954,27.5,0.0
11,Belgium,2022,0.791336903,619.16,53.11974248,11655930,46.9,65.1
12,Belize,2022,0.487439117,2.062,5.087940938,405272,0.0,0.0
13,Benin,2022,0.487277133,19.917,1.491590119,13352864,14.6,0.0
14,Bolivia,2022,0.375313304,40.895,3.345437827,12224110,0.0,0.0
15,Bosnia and Herzegovina,2022,0.520373981,23.006,7.114833776,3233526,28.5,0.0
16,Botswana,2022,0.592735602,19.002,7.224281982,2630296,23.9,0.0
17,Brazil,2022,0.494265751,1810.61,8.284981965,218541212,32.5,0.0
18,Bulgaria,2022,0.546905538,84.308,12.43122741,6781953,39.5,0.0
19,Burkina Faso,2022,0.491646224,21.887,0.965300774,22673762,15.3,0.0
20,Cambodia,2022,0.311690079,27.985,1.668968493,16767842,20.5,0.0
21,Cameroon,2022,0.355446409,48.29,1.729923077,27914536,15.1,0.0
22,Canada,2022,0.799883964,2189.79,56.94521711,38454327,50.8,69.3
23,Chile,2022,0.662654914,352.664,17.98963493,19603733,34.0,61.9
24,China,2022,0.471805593,18463.13,12.94851951,1425887337,55.3,0.0
25,Colombia,2022,0.483858252,319.29,6.155103757,51874024,29.2,57.8
26,Costa Rica,2022,0.682030733,64.374,12.42542458,5180829,28.7,67.5
27,Croatia,2022,0.612041907,68.525,17.00221171,4030358,35.6,0.0
28,Cyprus,2022,0.682927102,28.291,22.60588995,1251488,46.2,0.0
29,Denmark,2022,0.901821668,414.55,70.47460152,5882261,55.9,57.3
30,Dominica,2022,0.577229083,0.628,8.633845223,72737,0.0,0.0
31,Dominican Republic,2022,0.483348894,97.371,8.67152482,11228821,22.7,0.0
32,Ecuador,2022,0.481843141,109.975,6.109382812,18001000,20.3,0.0
33,El Salvador,2022,0.457522505,29.316,4.626607697,6336392,19.9,0.0
34,Estonia,2022,0.816574826,39.542,29.81911856,1326062,50.2,100.0
35,Ethiopia,2022,0.392856087,0.0,0.0,123379924,16.3,0.0
36,Finland,2022,0.870796444,314.538,56.76817829,5540745,56.9,67.4
37,France,2022,0.73079554,3140.03,48.58724797,64626628,55.0,45.3
38,Gabon,2022,0.39095853,19.632,8.217691813,2388992,0.0,0.0
39,Georgia,2022,0.601986462,19.688,5.258006321,3744385,27.9,0.0
40,Germany,2022,0.8342599,4557.35,54.66425072,83369843,57.2,70.2
41,Ghana,2022,0.551975971,82.018,2.450063284,33475870,20.8,0.0
42,Greece,2022,0.613401221,224.894,21.65571767,10384971,34.5,59.2
43,Grenada,2022,0.594080214,1.16,9.247596422,125438,0.0,0.0
44,Guatemala,2022,0.439068605,89.214,4.99968953,17843908,17.8,0.0
45,Guinea,2022,0.409898613,18.223,1.314853282,13859341,11.6,0.0
46,Guyana,2022,0.500216518,9.837,12.1635758,808726,0.0,0.0
47,Haiti,2022,0.352449771,18.825,1.624946612,11584996,0.0,0.0
48,Honduras,2022,0.405623117,27.923,2.676447302,10432860,17.3,0.0
49,Hong Kong,2022,0.727392092,0.0,0.0,7488865,51.8,0.0
50,Hungary,2022,0.516065937,198.992,19.96446784,9967308,39.8,77.9
51,India,2022,0.497209865,3250.08,2.293354166,1417173173,36.6,0.0
52,Indonesia,2022,0.531363313,1247.35,4.527564202,275501339,27.9,0.0
53,Ireland,2022,0.809185642,550.518,109.5970643,5023109,48.5,55.6
54,Italy,2022,0.665569071,2272.27,38.48860471,59037474,46.1,49.1
55,Jamaica,2022,0.580434486,15.63,5.528091938,2827377,27.7,0.0
56,Japan,2022,0.78572999,5383.68,43.43369512,123951692,53.6,67.3
57,Jordan,2022,0.540252096,47.5,4.208803062,11285869,27.4,0.0
58,Kazakhstan,2022,0.52827254,203.666,10.49933091,19397998,24.7,0.0
59,Kenya,2022,0.448873272,116.641,2.158919588,54027487,22.7,0.0
60,South Korea,2022,0.732535629,0.0,0.0,51815810,57.8,64.1
61,Latvia,2022,0.722523989,40.83,22.06250665,1850651,36.5,89.9
62,Lebanon,2022,0.446847084,0.0,0.0,5489739,0.0,0.0
63,Liberia,2022,0.433814012,3.664,0.690971228,5302681,0.0,0.0
64,Lithuania,2022,0.764534693,67.659,24.60278067,2750055,37.3,76.9
65,Luxembourg,2022,0.826384091,89.683,138.4853899,647599,49.8,80.6
66,Madagascar,2022,0.435709938,15.402,0.520131999,29611714,18.6,0.0
67,Malawi,2022,0.524513457,12.008,0.588474073,20405317,0.0,0.0
68,Malaysia,2022,0.565178648,415.375,12.23915066,33938221,38.7,0.0
69,Mali,2022,0.424003214,21.261,0.941019112,22593590,14.2,0.0
70,Malta,2022,0.678923378,18.209,34.14490536,533286,49.2,0.0
71,Mauritania,2022,0.366523388,9.336,1.971225929,4736139,12.4,0.0
72,Mauritius,2022,0.612079937,11.954,9.199142111,1299469,34.4,0.0
73,Mexico,2022,0.422936612,1371.64,10.75761274,127504125,31.0,58.4
74,Moldova,2022,0.521758177,13.315,4.068138183,3272996,31.1,0.0
75,Mongolia,2022,0.536757188,15.83,4.658120991,3398366,28.0,0.0
76,Morocco,2022,0.479415812,132.645,3.541168848,37457971,28.8,0.0
77,Mozambique,2022,0.395928111,16.759,0.508318017,32969518,15.0,0.0
78,Myanmar,2022,0.362169181,63.052,1.163765368,54179306,16.4,0.0
79,Namibia,2022,0.612062671,13.122,5.111779766,2567012,20.6,0.0
80,Nepal,2022,0.520791392,36.296,1.188179227,30547580,17.6,0.0
81,Netherlands,2022,0.834922122,1070.75,60.96271615,17564014,58.0,71.3
82,New Zealand,2022,0.827103302,267.636,51.61449084,5185288,47.2,89.7
83,Nicaragua,2022,0.361555806,13.948,2.007370914,6948392,18.1,0.0
84,Niger,2022,0.442738598,17.261,0.658616268,26207977,14.6,0.0
85,Nigeria,2022,0.407704262,555.346,2.541149996,218541212,16.9,0.0
86,North Macedonia,2022,0.533452301,0.0,0.0,2093599,28.8,0.0
87,Norway,2022,0.889431577,458.398,84.3524276,5434319,48.8,69.0
88,Pakistan,2022,0.385897093,0.0,0.0,235824862,23.0,0.0
89,Panama,2022,0.516747755,64.366,14.60016273,4408581,25.7,0.0
90,Paraguay,2022,0.468430732,39.197,5.780634102,6780744,22.7,0.0
91,Peru,2022,0.485256639,231.691,6.804516989,34049588,29.1,0.0
92,Philippines,2022,0.467060735,406.107,3.514282474,115559009,30.7,0.0
93,Poland,2022,0.642965222,720.35,18.07329652,39857145,37.5,59.3
94,Portugal,2022,0.689294299,271.191,26.40391048,10270865,42.1,51.4
95,Romania,2022,0.633312825,314.876,16.01667041,19659267,34.1,0.0
96,Russian Federation,2022,0.445822967,0.0,0.0,144713314,34.3,0.0
97,Rwanda,2022,0.628687096,11.035,0.800990194,13776698,18.7,0.0
98,Senegal,2022,0.560840445,30.039,1.734709004,17316449,19.9,0.0
99,Serbia,2022,0.489837644,65.697,9.097587506,7221365,32.3,0.0
100,Sierra Leone,2022,0.448745986,4.587,0.533017698,8605718,0.0,0.0
101,Singapore,2022,0.776887451,396.995,66.43501695,5975689,57.3,0.0
102,Slovak Republic,2022,0.657005897,127.497,22.59201946,5643453,0.0,74.1
103,Slovenia,2022,0.677239684,65.475,30.88670676,2119844,40.6,66.1
104,South Africa,2022,0.576509,435.212,7.26638454,59893885,29.8,0.0
105,Spain,2022,0.726748025,1570.91,33.03101877,47558630,44.6,56.9
106,Sri Lanka,2022,0.500822664,83.315,3.816162252,21832143,24.2,0.0
107,St. Kitts and Nevis,2022,0.632557278,1.092,22.91373775,47657,0.0,0.0
108,St. Lucia,2022,0.613876577,1.998,11.10882534,179857,0.0,0.0
109,St. Vincent and the Grenadines,2022,0.630379075,0.855,8.225266479,103948,0.0,0.0
110,Sudan,2022,0.391050238,37.769,0.805752349,46874204,0.0,0.0
111,Suriname,2022,0.495865881,2.937,4.752119604,618040,0.0,0.0
112,Sweden,2022,0.857421303,660.918,62.6501337,10549347,61.6,74.2
113,Tanzania,2022,0.461344542,74.536,1.137993325,65497748,19.4,0.0
114,Thailand,2022,0.495275408,585.586,8.167507078,71697030,34.9,0.0
115,The Bahamas,2022,0.605467575,0.0,0.0,409984,0.0,0.0
116,The Gambia,2022,0.487403427,0.0,0.0,2705992,0.0,0.0
117,Togo,2022,0.458786996,9.357,1.057443586,8848699,15.1,0.0
118,Trinidad and Tobago,2022,0.522788504,23.082,15.07598737,1531044,19.8,0.0
119,Tunisia,2022,0.518380966,45.454,3.678663774,12356117,27.9,0.0
120,Turkey,2022,0.416906528,0.0,0.0,85341241,38.1,76.6
121,Uganda,2022,0.390533803,47.0,0.994717731,47249585,15.7,0.0
122,Ukraine,2022,0.499652526,203.925,5.136424881,39701739,31.0,0.0
123,UAE,2022,0.633819721,427.93,45.3261469,9441129,42.1,0.0
124,UK,2022,0.787744034,3442.21,50.98895352,67508936,59.7,62.9
125,US,2022,0.707235208,24796.08,73.29832535,338289857,61.8,66.8
126,Uruguay,2022,0.713883843,63.741,18.62250547,3422794,29.2,0.0
127,Uzbekistan,2022,0.496015715,72.762,2.101268662,34627652,25.3,0.0
128,Vietnam,2022,0.489194975,415.493,4.231656017,98186856,34.2,0.0
129,Zambia,2022,0.449880867,23.967,1.197291893,20017675,15.8,0.0
130,Zimbabwe,2022,0.391414203,27.806,1.703742959,16320537,18.1,0.0
