Country;Innovation Score;Tax Score
Afghanistan;0;0
Albania;24.4;0
Algeria;16.7;0
Angola;13.9;0
Antigua and Barbuda;0;0
Argentina;28.6;0
Australia;47.1;75.5
Austria;50.2;68.6
Bangladesh;19.7;0
Barbados;0;0
Belarus;27.5;0
Belgium;46.9;65.1
Belize;0;0
Benin;14.6;0
Bolivia;0;0
Bosnia and Herzegovina;28.5;0
Botswana;23.9;0
Brazil;32.5;0
Bulgaria;39.5;0
Burkina Faso;15.3;0
Cambodia;20.5;0
Cameroon;15.1;0
Canada;50.8;69.3
Chile;34;61.9
China;55.3;0
Colombia;29.2;57.8
Costa Rica;28.7;67.5
Croatia;35.6;0
Cyprus;46.2;0
Denmark;55.9;57.3
Dominica;0;0
Dominican Republic;22.7;0
Ecuador;20.3;0
El Salvador;19.9;0
Estonia;50.2;100
Ethiopia;16.3;0
Finland;56.9;67.4
France;55;45.3
Gabon;0;0
Georgia;27.9;0
Germany;57.2;70.2
Ghana;20.8;0
Greece;34.5;59.2
Grenada;0;0
Guatemala;17.8;0
Guinea;11.6;0
Guyana;0;0
Haiti;0;0
Honduras;17.3;0
Hong Kong;51.8;0
Hungary;39.8;77.9
India;36.6;0
Indonesia;27.9;0
Ireland;48.5;55.6
Italy;46.1;49.1
Jamaica;27.7;0
Japan;53.6;67.3
Jordan;27.4;0
Kazakhstan;24.7;0
Kenya;22.7;0
South Korea;57.8;64.1
Latvia;36.5;89.9
Lebanon;0;0
Liberia;0;0
Lithuania;37.3;76.9
Luxembourg;49.8;80.6
Madagascar;18.6;0
Malawi;0;0
Malaysia;38.7;0
Mali;14.2;0
Malta;49.2;0
Mauritania;12.4;0
Mauritius;34.4;0
Mexico;31;58.4
Moldova;31.1;0
Mongolia;28;0
Morocco;28.8;0
Mozambique;15;0
Myanmar;16.4;0
Namibia;20.6;0
Nepal;17.6;0
Netherlands;58;71.3
New Zealand;47.2;89.7
Nicaragua;18.1;0
Niger;14.6;0
Nigeria;16.9;0
North Macedonia;28.8;0
Norway;48.8;69
Pakistan;23;0
Panama;25.7;0
Paraguay;22.7;0
Peru;29.1;0
Philippines;30.7;0
Poland;37.5;59.3
Portugal;42.1;51.4
Romania;34.1;0
Russian Federation;34.3;0
Rwanda;18.7;0
Senegal;19.9;0
Serbia;32.3;0
Sierra Leone;0;0
Singapore;57.3;0
Slovak Republic;0;74.1
Slovenia;40.6;66.1
South Africa;29.8;0
Spain;44.6;56.9
Sri Lanka;24.2;0
St. Kitts and Nevis;0;0
St. Lucia;0;0
St. Vincent and the Grenadines;0;0
Sudan;0;0
Suriname;0;0
Sweden;61.6;74.2
Tanzania;19.4;0
Thailand;34.9;0
The Bahamas;0;0
The Gambia;0;0
Togo;15.1;0
Trinidad and Tobago;19.8;0
Tunisia;27.9;0
Turkey;38.1;76.6
Uganda;15.7;0
Ukraine;31;0
UAE;42.1;0
UK;59.7;62.9
US;61.8;66.8
Uruguay;29.2;0
Uzbekistan;25.3;0
Vietnam;34.2;0
Zambia;15.8;0
Zimbabwe;18.1;0
